current_points,offences_last_12m,minor_offences,moderate_offences,severe_offences,days_since_last_offence,avg_days_between_offences,years_since_licence_issue,suspension_proximity,stability_index,trend_encoded,label
8.0,2,3,0,0,0.0,34.0,24.0,0.5333333333333333,72.66666666666667,1,1
12.0,4,1,2,0,0.0,19.0,11.0,0.8,58.0,1,0
5.0,0,0,0,0,255.0,57.0,15.0,0.3333333333333333,86.66666666666667,0,0
2.0,0,0,0,0,239.0,120.0,3.0,0.1333333333333333,94.66666666666669,0,0
3.0,0,0,0,0,241.0,56.0,2.0,0.2,92.0,0,0
5.0,0,0,0,0,333.0,62.0,4.0,0.3333333333333333,86.66666666666667,0,0
2.0,0,0,0,0,278.0,69.0,20.0,0.1333333333333333,94.66666666666669,0,0
2.0,0,0,0,0,218.0,59.0,3.0,0.1333333333333333,94.66666666666669,0,0
5.0,2,1,1,1,30.0,28.0,5.0,0.3333333333333333,74.66666666666667,1,1
4.0,1,0,0,0,318.0,121.0,13.0,0.2666666666666666,89.33333333333333,0,0
4.0,0,0,0,0,289.0,90.0,7.0,0.2666666666666666,89.33333333333333,0,0
4.0,1,0,0,0,300.0,83.0,4.0,0.2666666666666666,89.33333333333333,0,0
5.0,1,1,0,0,30.0,39.0,14.0,0.3333333333333333,84.66666666666667,1,0
5.0,1,0,0,0,273.0,88.0,23.0,0.3333333333333333,86.66666666666667,0,0
5.0,3,1,1,0,0.0,100.0,10.0,0.3333333333333333,80.66666666666667,1,0
1.0,0,0,0,0,267.0,128.0,19.0,0.0666666666666666,97.33333333333331,0,0
8.0,2,1,0,1,0.0,54.0,8.0,0.5333333333333333,70.66666666666667,1,1
3.0,0,0,0,0,335.0,139.0,13.0,0.2,92.0,0,0
3.0,3,2,1,0,0.0,21.0,24.0,0.2,84.0,1,0
3.0,0,0,0,0,182.0,64.0,6.0,0.2,92.0,0,0
4.0,1,1,0,0,60.0,119.0,11.0,0.2666666666666666,87.33333333333333,1,0
1.0,2,1,0,0,0.0,98.0,23.0,0.0666666666666666,95.33333333333331,1,1
6.0,0,0,0,0,193.0,105.0,14.0,0.4,84.0,0,0
4.0,0,0,0,0,248.0,79.0,7.0,0.2666666666666666,89.33333333333333,0,0
14.0,3,1,1,2,0.0,28.0,10.0,0.9333333333333332,44.66666666666666,1,1
2.0,0,1,0,0,60.0,80.0,10.0,0.1333333333333333,92.66666666666669,1,0
3.0,1,1,0,0,60.0,124.0,5.0,0.2,90.0,1,0
2.0,0,0,0,0,359.0,98.0,3.0,0.1333333333333333,94.66666666666669,0,0
11.0,3,2,1,1,30.0,62.0,7.0,0.7333333333333333,56.66666666666667,1,1
3.0,0,0,0,0,355.0,132.0,24.0,0.2,92.0,0,0
6.0,1,0,1,0,90.0,64.0,18.0,0.4,80.0,1,0
1.0,1,0,0,0,253.0,77.0,18.0,0.0666666666666666,97.33333333333331,0,0
0.0,0,0,0,0,289.0,82.0,15.0,0.0,100.0,0,0
14.0,3,1,1,1,30.0,80.0,11.0,0.9333333333333332,50.66666666666666,1,1
3.0,1,2,0,0,0.0,48.0,20.0,0.2,88.0,1,0
8.0,0,0,0,0,261.0,116.0,13.0,0.5333333333333333,78.66666666666667,0,0
10.0,1,0,1,1,90.0,46.0,23.0,0.6666666666666666,63.33333333333334,1,1
5.0,0,0,0,0,218.0,88.0,11.0,0.3333333333333333,86.66666666666667,0,0
10.0,3,0,0,3,30.0,37.0,10.0,0.6666666666666666,55.33333333333334,1,1
4.0,1,0,0,0,230.0,96.0,6.0,0.2666666666666666,89.33333333333333,0,1
4.0,0,0,0,0,291.0,67.0,22.0,0.2666666666666666,89.33333333333333,0,0
1.0,0,0,0,0,282.0,73.0,21.0,0.0666666666666666,97.33333333333331,0,0
6.0,2,0,1,0,60.0,116.0,3.0,0.4,80.0,1,0
0.0,0,0,0,0,265.0,133.0,13.0,0.0,100.0,0,0
3.0,3,3,0,0,0.0,75.0,5.0,0.2,86.0,1,0
3.0,0,0,0,0,348.0,63.0,12.0,0.2,92.0,0,0
14.0,5,0,1,4,30.0,18.0,18.0,0.9333333333333332,34.666666666666664,1,1
6.0,3,0,1,3,0.0,76.0,2.0,0.4,62.0,1,1
14.0,3,1,0,2,30.0,71.0,21.0,0.9333333333333332,48.66666666666666,1,1
3.0,0,0,0,0,196.0,58.0,5.0,0.2,92.0,0,0
1.0,0,0,0,0,221.0,83.0,13.0,0.0666666666666666,97.33333333333331,0,0
3.0,0,0,0,0,224.0,117.0,21.0,0.2,92.0,0,0
1.0,0,0,0,0,190.0,76.0,5.0,0.0666666666666666,97.33333333333331,0,0
5.0,1,0,0,0,209.0,60.0,23.0,0.3333333333333333,86.66666666666667,0,0
7.0,2,1,0,0,60.0,48.0,20.0,0.4666666666666667,79.33333333333333,1,0
6.0,1,1,0,0,0.0,42.0,15.0,0.4,82.0,1,0
6.0,1,0,0,0,225.0,109.0,19.0,0.4,84.0,0,0
0.0,1,2,0,0,90.0,39.0,11.0,0.0,96.0,1,0
11.0,2,1,0,0,150.0,29.0,13.0,0.7333333333333333,68.66666666666667,1,0
8.0,4,2,2,0,0.0,39.0,20.0,0.5333333333333333,66.66666666666667,1,1
0.0,0,0,0,0,266.0,60.0,4.0,0.0,100.0,0,0
0.0,0,0,0,0,286.0,76.0,1.0,0.0,100.0,0,0
0.0,1,0,1,0,90.0,115.0,14.0,0.0,96.0,1,0
12.0,3,1,1,1,60.0,83.0,1.0,0.8,56.0,1,1
14.0,3,0,2,2,30.0,91.0,13.0,0.9333333333333332,42.66666666666666,1,1
12.0,3,0,1,2,0.0,53.0,13.0,0.8,52.0,1,1
3.0,1,1,0,0,90.0,100.0,10.0,0.2,90.0,1,0
7.0,1,1,0,0,120.0,39.0,15.0,0.4666666666666667,79.33333333333333,1,0
9.0,2,0,1,1,30.0,109.0,18.0,0.6,66.0,1,1
3.0,0,0,0,0,262.0,71.0,10.0,0.2,92.0,0,0
0.0,1,0,0,0,231.0,98.0,9.0,0.0,100.0,0,0
13.0,4,1,1,1,30.0,89.0,25.0,0.8666666666666667,53.33333333333333,1,1
6.0,1,0,0,0,323.0,90.0,16.0,0.4,84.0,0,0
1.0,1,0,0,0,239.0,128.0,1.0,0.0666666666666666,97.33333333333331,0,0
1.0,0,0,0,0,249.0,117.0,20.0,0.0666666666666666,97.33333333333331,0,0
1.0,0,0,0,0,321.0,54.0,11.0,0.0666666666666666,97.33333333333331,0,0
3.0,1,0,1,0,60.0,57.0,10.0,0.2,88.0,1,0
7.0,0,0,0,0,237.0,125.0,4.0,0.4666666666666667,81.33333333333333,0,0
4.0,0,0,0,0,308.0,59.0,16.0,0.2666666666666666,89.33333333333333,0,0
7.0,3,2,0,0,30.0,41.0,11.0,0.4666666666666667,77.33333333333333,1,0
5.0,1,1,0,0,90.0,98.0,1.0,0.3333333333333333,84.66666666666667,1,0
12.0,1,0,1,0,0.0,98.0,11.0,0.8,64.0,1,1
13.0,4,0,2,1,30.0,87.0,14.0,0.8666666666666667,51.33333333333333,1,1
1.0,0,0,0,0,278.0,72.0,5.0,0.0666666666666666,97.33333333333331,0,0
3.0,0,1,0,0,90.0,70.0,3.0,0.2,90.0,1,0
4.0,0,0,0,0,346.0,79.0,6.0,0.2666666666666666,89.33333333333333,0,0
4.0,0,0,0,0,237.0,107.0,13.0,0.2666666666666666,89.33333333333333,0,0
3.0,1,0,0,0,334.0,121.0,18.0,0.2,92.0,0,0
2.0,0,0,0,0,307.0,114.0,15.0,0.1333333333333333,94.66666666666669,0,0
2.0,0,0,0,0,285.0,68.0,2.0,0.1333333333333333,94.66666666666669,0,0
8.0,0,0,0,0,347.0,91.0,22.0,0.5333333333333333,78.66666666666667,0,0
5.0,0,0,0,0,279.0,122.0,12.0,0.3333333333333333,86.66666666666667,0,0
9.0,1,0,2,0,90.0,67.0,4.0,0.6,68.0,1,1
2.0,1,1,0,0,0.0,82.0,3.0,0.1333333333333333,92.66666666666669,1,0
0.0,0,0,0,0,303.0,132.0,21.0,0.0,100.0,0,0
2.0,0,0,0,0,277.0,80.0,20.0,0.1333333333333333,94.66666666666669,0,0
1.0,0,0,0,0,227.0,115.0,5.0,0.0666666666666666,97.33333333333331,0,0
2.0,1,0,0,0,281.0,124.0,13.0,0.1333333333333333,94.66666666666669,0,0
10.0,2,2,1,0,0.0,81.0,18.0,0.6666666666666666,65.33333333333334,1,1
8.0,1,1,0,0,30.0,86.0,13.0,0.5333333333333333,76.66666666666667,1,0
9.0,0,0,1,0,30.0,78.0,14.0,0.6,72.0,1,0
12.0,4,0,1,3,30.0,17.0,14.0,0.8,46.0,1,1
1.0,0,1,0,0,0.0,42.0,3.0,0.0666666666666666,95.33333333333331,1,0
8.0,0,0,0,0,349.0,132.0,1.0,0.5333333333333333,78.66666666666667,0,0
7.0,3,2,0,0,0.0,83.0,22.0,0.4666666666666667,77.33333333333333,1,1
4.0,1,1,0,0,0.0,90.0,23.0,0.2666666666666666,87.33333333333333,1,0
8.0,1,1,0,0,0.0,121.0,23.0,0.5333333333333333,76.66666666666667,1,0
4.0,1,0,0,0,188.0,88.0,3.0,0.2666666666666666,89.33333333333333,0,0
11.0,4,0,1,3,0.0,30.0,7.0,0.7333333333333333,48.66666666666667,1,1
3.0,1,0,0,0,246.0,127.0,8.0,0.2,92.0,0,0
5.0,0,0,0,0,267.0,85.0,2.0,0.3333333333333333,86.66666666666667,0,0
3.0,1,0,0,0,346.0,59.0,7.0,0.2,92.0,0,0
8.0,2,1,0,0,90.0,111.0,16.0,0.5333333333333333,76.66666666666667,1,0
3.0,0,0,0,0,293.0,103.0,25.0,0.2,92.0,0,0
1.0,0,0,0,0,346.0,122.0,15.0,0.0666666666666666,97.33333333333331,0,0
4.0,1,1,0,0,90.0,86.0,6.0,0.2666666666666666,87.33333333333333,1,0
0.0,0,0,0,0,187.0,96.0,16.0,0.0,100.0,0,0
12.0,2,2,1,0,60.0,34.0,13.0,0.8,60.0,1,1
6.0,1,1,0,0,90.0,70.0,10.0,0.4,82.0,1,0
10.0,3,1,1,1,30.0,26.0,25.0,0.6666666666666666,61.33333333333334,1,1
11.0,3,1,1,0,90.0,101.0,25.0,0.7333333333333333,64.66666666666667,1,1
10.0,4,0,2,1,0.0,38.0,10.0,0.6666666666666666,59.33333333333334,1,1
8.0,1,1,0,0,30.0,30.0,14.0,0.5333333333333333,76.66666666666667,1,0
6.0,2,0,1,1,30.0,63.0,9.0,0.4,74.0,1,1
8.0,3,1,1,0,0.0,23.0,17.0,0.5333333333333333,72.66666666666667,1,0
9.0,3,1,1,0,90.0,32.0,21.0,0.6,70.0,1,1
12.0,0,1,0,0,0.0,121.0,21.0,0.8,66.0,1,0
12.0,6,0,3,2,0.0,53.0,22.0,0.8,44.0,1,1
12.0,3,1,3,0,0.0,37.0,24.0,0.8,54.0,1,1
13.0,3,0,0,2,60.0,44.0,5.0,0.8666666666666667,53.33333333333333,1,1
5.0,3,2,0,1,0.0,27.0,1.0,0.3333333333333333,76.66666666666667,1,1
7.0,1,1,0,0,90.0,78.0,22.0,0.4666666666666667,79.33333333333333,1,0
3.0,1,0,0,0,235.0,85.0,20.0,0.2,92.0,0,0
2.0,0,0,0,0,248.0,93.0,8.0,0.1333333333333333,94.66666666666669,0,0
7.0,2,0,1,1,30.0,92.0,6.0,0.4666666666666667,71.33333333333333,1,1
8.0,1,1,0,0,30.0,68.0,10.0,0.5333333333333333,76.66666666666667,1,1
6.0,2,3,0,0,30.0,56.0,23.0,0.4,78.0,1,0
11.0,2,0,1,1,0.0,102.0,15.0,0.7333333333333333,60.66666666666667,1,0
3.0,2,1,1,0,60.0,63.0,1.0,0.2,86.0,1,0
11.0,3,0,1,1,0.0,29.0,12.0,0.7333333333333333,60.66666666666667,1,1
0.0,0,0,0,0,272.0,97.0,9.0,0.0,100.0,0,0
6.0,0,0,0,0,355.0,85.0,15.0,0.4,84.0,0,0
4.0,0,0,1,0,60.0,63.0,5.0,0.2666666666666666,85.33333333333333,1,0
4.0,0,0,0,0,220.0,117.0,22.0,0.2666666666666666,89.33333333333333,0,0
8.0,2,1,1,0,90.0,97.0,8.0,0.5333333333333333,72.66666666666667,1,1
12.0,0,0,0,0,191.0,88.0,25.0,0.8,68.0,0,0
6.0,1,0,0,0,331.0,109.0,25.0,0.4,84.0,0,0
6.0,3,1,2,0,30.0,52.0,10.0,0.4,74.0,1,1
4.0,1,1,0,0,0.0,65.0,2.0,0.2666666666666666,87.33333333333333,1,0
0.0,0,0,0,0,271.0,94.0,7.0,0.0,100.0,0,0
3.0,1,1,0,0,120.0,91.0,9.0,0.2,90.0,1,0
8.0,1,0,1,0,30.0,112.0,20.0,0.5333333333333333,74.66666666666667,1,0
12.0,3,0,2,1,0.0,29.0,4.0,0.8,54.0,1,1
9.0,3,2,1,0,30.0,33.0,3.0,0.6,68.0,1,1
3.0,0,0,0,0,286.0,137.0,2.0,0.2,92.0,0,0
7.0,1,1,0,0,150.0,37.0,23.0,0.4666666666666667,79.33333333333333,1,0
12.0,2,1,2,0,0.0,105.0,19.0,0.8,58.0,1,1
8.0,1,1,0,0,150.0,49.0,21.0,0.5333333333333333,76.66666666666667,1,0
6.0,2,2,1,0,90.0,65.0,15.0,0.4,76.0,1,1
6.0,0,0,1,0,30.0,46.0,9.0,0.4,80.0,1,0
6.0,0,1,0,0,120.0,72.0,15.0,0.4,82.0,1,0
11.0,2,2,0,0,60.0,22.0,16.0,0.7333333333333333,66.66666666666667,1,1
10.0,3,1,1,1,60.0,64.0,1.0,0.6666666666666666,61.33333333333334,1,1
3.0,0,0,0,0,217.0,62.0,1.0,0.2,92.0,0,0
1.0,1,0,0,0,220.0,47.0,13.0,0.0666666666666666,97.33333333333331,0,0
2.0,1,1,0,0,30.0,100.0,3.0,0.1333333333333333,92.66666666666669,1,0
1.0,0,0,0,0,272.0,93.0,20.0,0.0666666666666666,97.33333333333331,0,0
7.0,3,2,1,0,0.0,97.0,24.0,0.4666666666666667,73.33333333333333,1,1
2.0,0,0,1,0,0.0,63.0,24.0,0.1333333333333333,90.66666666666669,1,0
2.0,1,1,0,0,30.0,79.0,7.0,0.1333333333333333,92.66666666666669,1,0
2.0,0,1,0,0,30.0,82.0,16.0,0.1333333333333333,92.66666666666669,1,0
6.0,2,0,1,0,120.0,51.0,19.0,0.4,80.0,1,0
11.0,7,0,2,4,0.0,59.0,17.0,0.7333333333333333,38.66666666666667,1,1
6.0,1,0,2,0,90.0,83.0,10.0,0.4,76.0,1,1
3.0,3,2,1,0,30.0,53.0,5.0,0.2,84.0,1,1
4.0,1,0,0,0,183.0,111.0,17.0,0.2666666666666666,89.33333333333333,0,0
8.0,1,0,1,0,0.0,107.0,2.0,0.5333333333333333,74.66666666666667,1,0
8.0,2,2,0,0,0.0,93.0,1.0,0.5333333333333333,74.66666666666667,1,1
0.0,1,0,0,0,211.0,60.0,20.0,0.0,100.0,0,0
4.0,0,0,0,0,319.0,108.0,24.0,0.2666666666666666,89.33333333333333,0,0
3.0,2,2,0,0,0.0,35.0,13.0,0.2,88.0,1,0
7.0,0,0,0,0,336.0,139.0,6.0,0.4666666666666667,81.33333333333333,0,0
1.0,0,0,0,0,337.0,82.0,6.0,0.0666666666666666,97.33333333333331,0,0
3.0,0,0,0,0,315.0,70.0,6.0,0.2,92.0,0,0
4.0,1,1,0,0,90.0,63.0,15.0,0.2666666666666666,87.33333333333333,1,0
3.0,0,0,0,0,316.0,70.0,22.0,0.2,92.0,0,0
8.0,3,2,0,0,30.0,106.0,12.0,0.5333333333333333,74.66666666666667,1,0
14.0,5,1,1,2,0.0,31.0,18.0,0.9333333333333332,44.66666666666666,1,1
5.0,1,0,0,0,188.0,50.0,13.0,0.3333333333333333,86.66666666666667,0,0
7.0,0,0,0,0,340.0,87.0,4.0,0.4666666666666667,81.33333333333333,0,0
10.0,3,1,0,2,0.0,67.0,14.0,0.6666666666666666,59.33333333333334,1,1
7.0,1,1,0,0,60.0,59.0,22.0,0.4666666666666667,79.33333333333333,1,0
6.0,1,0,0,0,284.0,105.0,23.0,0.4,84.0,0,0
10.0,1,0,1,1,90.0,84.0,18.0,0.6666666666666666,63.33333333333334,1,1
4.0,0,0,0,0,260.0,102.0,19.0,0.2666666666666666,89.33333333333333,0,0
7.0,1,0,1,0,0.0,114.0,18.0,0.4666666666666667,77.33333333333333,1,1
4.0,4,2,1,0,60.0,36.0,17.0,0.2666666666666666,81.33333333333333,1,1
8.0,2,1,0,0,90.0,94.0,18.0,0.5333333333333333,76.66666666666667,1,0
11.0,3,0,0,3,90.0,51.0,8.0,0.7333333333333333,52.66666666666667,1,1
3.0,0,0,0,0,338.0,61.0,15.0,0.2,92.0,0,1
8.0,2,0,1,0,0.0,123.0,18.0,0.5333333333333333,74.66666666666667,1,0
3.0,0,0,0,0,186.0,54.0,11.0,0.2,92.0,0,0
1.0,0,0,0,0,247.0,51.0,13.0,0.0666666666666666,97.33333333333331,0,0
8.0,1,1,0,1,60.0,107.0,12.0,0.5333333333333333,70.66666666666667,1,1
6.0,3,1,1,0,0.0,46.0,3.0,0.4,78.0,1,0
10.0,1,2,0,0,30.0,82.0,5.0,0.6666666666666666,69.33333333333334,1,1
9.0,4,1,0,2,0.0,71.0,14.0,0.6,62.0,1,1
4.0,0,0,0,0,193.0,71.0,3.0,0.2666666666666666,89.33333333333333,0,0
0.0,1,0,0,0,308.0,91.0,7.0,0.0,100.0,0,0
3.0,2,2,0,0,120.0,59.0,2.0,0.2,88.0,1,0
8.0,2,1,0,1,30.0,112.0,5.0,0.5333333333333333,70.66666666666667,1,1
0.0,0,0,0,0,202.0,108.0,14.0,0.0,100.0,0,0
6.0,2,0,2,0,0.0,60.0,17.0,0.4,76.0,1,1
6.0,2,0,0,1,120.0,57.0,20.0,0.4,78.0,1,1
2.0,0,0,0,0,314.0,107.0,9.0,0.1333333333333333,94.66666666666669,0,0
3.0,0,0,0,0,234.0,105.0,4.0,0.2,92.0,0,0
7.0,2,2,0,1,60.0,33.0,10.0,0.4666666666666667,71.33333333333333,1,1
4.0,0,0,0,0,216.0,84.0,6.0,0.2666666666666666,89.33333333333333,0,0
7.0,0,0,0,0,355.0,123.0,24.0,0.4666666666666667,81.33333333333333,0,0
3.0,0,0,0,0,229.0,111.0,1.0,0.2,92.0,0,0
1.0,1,0,0,0,206.0,90.0,19.0,0.0666666666666666,97.33333333333331,0,0
6.0,3,1,1,0,0.0,63.0,8.0,0.4,78.0,1,0
4.0,1,1,0,0,120.0,79.0,24.0,0.2666666666666666,87.33333333333333,1,0
4.0,1,0,0,0,240.0,51.0,13.0,0.2666666666666666,89.33333333333333,0,0
5.0,2,0,1,0,90.0,114.0,7.0,0.3333333333333333,82.66666666666667,1,0
3.0,2,2,1,0,0.0,58.0,21.0,0.2,84.0,1,1
3.0,0,0,1,0,150.0,73.0,25.0,0.2,88.0,1,0
5.0,2,1,1,0,30.0,69.0,21.0,0.3333333333333333,80.66666666666667,1,0
6.0,2,1,1,0,0.0,74.0,21.0,0.4,78.0,1,0
2.0,0,0,0,0,260.0,76.0,23.0,0.1333333333333333,94.66666666666669,0,0
7.0,1,1,0,0,90.0,120.0,17.0,0.4666666666666667,79.33333333333333,1,0
11.0,3,2,1,0,0.0,23.0,23.0,0.7333333333333333,62.66666666666667,1,1
5.0,3,3,0,0,60.0,29.0,5.0,0.3333333333333333,80.66666666666667,1,0
12.0,5,1,1,3,0.0,82.0,20.0,0.8,44.0,1,1
5.0,1,0,0,0,197.0,111.0,20.0,0.3333333333333333,86.66666666666667,0,0
7.0,3,0,2,2,0.0,59.0,5.0,0.4666666666666667,61.33333333333333,1,1
3.0,1,0,0,0,247.0,122.0,12.0,0.2,92.0,0,0
13.0,5,0,2,2,30.0,60.0,17.0,0.8666666666666667,45.33333333333333,1,1
3.0,0,0,0,0,285.0,115.0,19.0,0.2,92.0,0,0
10.0,2,1,0,1,0.0,88.0,23.0,0.6666666666666666,65.33333333333334,1,1
3.0,1,0,1,0,120.0,25.0,15.0,0.2,88.0,1,0
4.0,1,0,0,0,295.0,135.0,17.0,0.2666666666666666,89.33333333333333,0,0
6.0,0,0,0,0,206.0,65.0,22.0,0.4,84.0,0,0
2.0,0,0,0,0,283.0,56.0,13.0,0.1333333333333333,94.66666666666669,0,0
10.0,1,0,0,1,120.0,78.0,18.0,0.6666666666666666,67.33333333333334,1,1
